CIDR,Starting IP,Ending IP
195.162.92.0/22,195.162.92.0,195.162.95.255
101.56.0.0/14,101.56.0.0,101.59.255.255
51.182.0.0/15,51.182.0.0,51.183.255.255
51.186.0.0/15,51.186.0.0,51.187.255.255
51.199.0.0/17,51.199.0.0,51.199.127.255
51.199.128.0/18,51.199.128.0,51.199.191.255
51.199.192.0/20,51.199.192.0,51.199.207.255
2.120.16.0/22,2.120.16.0,2.120.19.255
2.120.32.0/21,2.120.32.0,2.120.39.255
2.120.40.0/22,2.120.40.0,2.120.43.255
2.120.48.0/22,2.120.48.0,2.120.51.255
2.120.68.0/22,2.120.68.0,2.120.71.255
2.120.80.0/21,2.120.80.0,2.120.87.255
2.120.128.0/21,2.120.128.0,2.120.135.255
2.120.136.0/22,2.120.136.0,2.120.139.255
2.120.148.0/22,2.120.148.0,2.120.151.255
2.120.184.0/21,2.120.184.0,2.120.191.255
2.120.192.0/22,2.120.192.0,2.120.195.255
2.120.236.0/22,2.120.236.0,2.120.239.255
2.121.32.0/22,2.121.32.0,2.121.35.255
2.121.48.0/20,2.121.48.0,2.121.63.255
2.121.64.0/21,2.121.64.0,2.121.71.255
2.121.112.0/22,2.121.112.0,2.121.115.255
2.121.128.0/20,2.121.128.0,2.121.143.255
2.121.144.0/22,2.121.144.0,2.121.147.255
2.121.152.0/21,2.121.152.0,2.121.159.255
2.121.160.0/20,2.121.160.0,2.121.175.255
2.121.180.0/22,2.121.180.0,2.121.183.255
2.121.184.0/21,2.121.184.0,2.121.191.255
2.121.192.0/20,2.121.192.0,2.121.207.255
2.121.216.0/22,2.121.216.0,2.121.219.255
2.121.224.0/20,2.121.224.0,2.121.239.255
2.121.240.0/22,2.121.240.0,2.121.243.255
2.121.248.0/21,2.121.248.0,2.121.255.255
2.122.8.0/21,2.122.8.0,2.122.15.255
2.122.20.0/22,2.122.20.0,2.122.23.255
2.122.24.0/21,2.122.24.0,2.122.31.255
2.122.36.0/22,2.122.36.0,2.122.39.255
2.122.40.0/22,2.122.40.0,2.122.43.255
2.122.68.0/22,2.122.68.0,2.122.71.255
2.122.72.0/22,2.122.72.0,2.122.75.255
2.122.80.0/22,2.122.80.0,2.122.83.255
2.122.96.0/20,2.122.96.0,2.122.111.255
2.122.116.0/22,2.122.116.0,2.122.119.255
2.122.124.0/22,2.122.124.0,2.122.127.255
2.122.132.0/22,2.122.132.0,2.122.135.255
2.122.140.0/22,2.122.140.0,2.122.143.255
2.122.144.0/22,2.122.144.0,2.122.147.255
2.122.160.0/22,2.122.160.0,2.122.163.255
2.122.184.0/22,2.122.184.0,2.122.187.255
2.122.196.0/22,2.122.196.0,2.122.199.255
2.122.200.0/22,2.122.200.0,2.122.203.255
2.122.220.0/22,2.122.220.0,2.122.223.255
2.122.232.0/22,2.122.232.0,2.122.235.255
2.122.248.0/22,2.122.248.0,2.122.251.255
2.123.8.0/21,2.123.8.0,2.123.15.255
2.123.16.0/22,2.123.16.0,2.123.19.255
2.123.28.0/22,2.123.28.0,2.123.31.255
2.123.56.0/21,2.123.56.0,2.123.63.255
2.123.104.0/21,2.123.104.0,2.123.111.255
2.123.116.0/22,2.123.116.0,2.123.119.255
2.123.120.0/21,2.123.120.0,2.123.127.255
2.123.160.0/21,2.123.160.0,2.123.167.255
2.123.168.0/22,2.123.168.0,2.123.171.255
2.123.176.0/22,2.123.176.0,2.123.179.255
2.123.196.0/22,2.123.196.0,2.123.199.255
2.123.220.0/22,2.123.220.0,2.123.223.255
2.123.224.0/21,2.123.224.0,2.123.231.255
2.124.52.0/22,2.124.52.0,2.124.55.255
2.124.56.0/22,2.124.56.0,2.124.59.255
2.124.68.0/22,2.124.68.0,2.124.71.255
2.124.72.0/22,2.124.72.0,2.124.75.255
2.124.92.0/22,2.124.92.0,2.124.95.255
